ticker|headline|date|eventRet|Close
WMT|"Wal-Mart (WMT +1.1%) wins at the Supreme Court on its sex-discrimination class-action case, as justices say it can't proceed in its current form. The class lacked ""glue holding together the alleged reasons"" for all the employment decisions, and the case didn't provide proof that a ""general policy of discrimination"" was in place."|2011-06-20|0.008760126028797721|42.32
JPM|JPMorgan Chase (JPM +0.8%) settles with the SEC for $154M over a mortgage securities transaction. The agency says investors will get their money back.|2011-06-21|-0.0024528511818711074|31.47
GOOG|"Along with turning negative on Motorola Mobility (NYSE:MMI), Credit Suisse flips on Research In Motion (RIMM +5.5%), downgrading to Neutral - and CS was one of the last remaining RIM bulls. ""Innovation is coming too slowly,"" the firm says, and RIM could be punished if and when Apple (NASDAQ:AAPL) comes out with its rumored low-end iPhone."|2011-06-21|0.0043540587846541134|245.58
GOOG|"Credit Suisse downgrades Motorola Mobility (MMI -2.8%), saying ""competitive headwinds are intensifying"" from Verizon (VZ +0.4%) and other Android vendors, pressuring margins going forward. The firm cuts its 2011 EPS view by 27% and lowers its price target to $19."|2011-06-21|0.0043540587846541134|245.58
ADBE|"Despite its earnings beat, Adobe (ADBE -6.8%) sinking after its third-quarter earnings forecast (EPS of $0.50-$0.56, vs. expected $0.54) disappoints investors. The firm reports getting a ""positive reception"" to its May release of the flagship Creative Suite. (earnings call transcript)"|2011-06-22|-0.013903129335655295|30.01
NFLX|Netflix (NFLX +3.4%) CEO Reed Hastings jumps on Facebook's board - interesting in light of the idea the companies may be getting more likely to cooperate than compete (previously: I, II, III).|2011-06-23|0.01349459190056257|36.53
AMZN|"Amazon (AMZN +4.2%) tops the S&P leader board after Morgan Stanley places the stock on its “Best Ideas” list, citing ""underestimated"" global market share opportunities. Amazon is growing 4x and 2.5x the rate of e-commerce in the U.S. and internationally, respectively, and should enjoy a very strong Q4 this year as online sales activity accelerates, Morgan says."|2011-06-27|0.04235677764006218|201.25
AMZN|Amazon (NASDAQ:AMZN) +1.1% premarket, on chatter of an upgrade from a tier 1 firm. More details to follow.|2011-06-27|0.04235677764006218|201.25
GOOG|Motorola Mobility (MMI -3.5%) continues a seven session decline, as BMO jumps on the bandwagon with a downgrade. MMI's share of the Android-powered smartphone market has plunged, BMO says, and more competition is on the way. The leader in the Android race in early 2010, MMI is expected to fall to fifth in Q2.|2011-06-28|0.04712231469513806|245.9
MSFT|LinkedIn (LNKD) is initiated with a Buy at UBS, with a $90 price target. Shares +3.6% to $79.11. (see also: JPMorgan's view)|2011-06-28|0.05396398879322495|20.87
NFLX|"A few reasons why Netflix (NFLX +7.9%) could profit from Latin America: over 600M people, growing economies, increasing broadband usage, and a strategy that involves combining Hollywood studio libraries with local content. However, addressing the ""local nuances attached to reaching customers in each individual market"" won't be easy."|2011-07-05|0.10555783908458238|41.38
GOOG|Canaccord's Heath Terry is one-upping Evercore's $670 PT on Google (GOOG +2.3%) by asserting that the company's shares can easily reach $800. Terry sees Google's margins expanding over the next 2-3 years, and mobile advertising growing to 30% of the company's revenues within 4-5 years.|2011-07-05|0.05633104755910168|265.23
NFLX|Dawson James boldly initiates coverage of Netflix (NASDAQ:NFLX) at Sell with a $181 downside target, citing an 8.7% Y/Y drop in per-subscriber revenue, increased competition (Hulu, AMZN, Facebook, GOOG), rising content costs, and consolidation among CDNs. For now, NFLX is +5% to $281.44. (earlier)|2011-07-05|0.10555783908458238|41.38
GOOG|Evercore's Ken Sena is upgrading Google (GOOG +2.4%) to Overweight and boosting his target to $670 from $620. Sena's upgrade is due to “a more favorable view of Google’s long-term prospects in Social, Local and Display,” and a belief that concerns about capex and government investigations are priced in.|2011-07-05|0.05633104755910168|265.23
NFLX|Netflix (NASDAQ:NFLX) +3.2% premarket after confirming that it will begin offering its Web video service in Mexico and  42 other countries in Latin America and the Caribbean later this year. Netflix did not announce a launch date for the move or pricing for  the service, which goes for $7.99/month in the U.S. (PR)|2011-07-05|0.10555783908458238|41.38
MSFT|Microsoft (NASDAQ:MSFT) signs a deal to grow its presence in China by offering English-language services to Chinese search engine Baidu (NASDAQ:BIDU), and launching its own Bing search engine in China by year-end. The deal contrasts sharply with Google's (NASDAQ:GOOG) continual battles with the Chinese government. Premarket: MSFT +0.5%, BIDU +2.3%.|2011-07-05|0.012346355949536925|21.06
NFLX|"What? A Netflix (NFLX -0.8%) downgrade? Merriman downgrades shares to Neutral, seeing limited upside given  ""tough year-over-year operating margin comparisons, the potential for  incremental EPS pressures from international launches and new/updated  streaming content agreements."" Merriman suggests rotating into Coinstar (CSTR -2%) as an alternative on the growing in-home movie craze."|2011-07-06|0.09038498819041219|41.57
JPM|A New York appeals court has dismissed a RICO lawsuit accusing JPMorgan Chase (JPM +2.2%) of conspiring in Bernie Madoff's Ponzi scheme - which could deal a blow to victims' trustee Irving Picard, who has fought to keep cases involving $100B in claims alive in bankruptcy court. Picard recently filed an amended $19.9B suit against JPM.|2011-07-07|-0.006925373775394372|31.98
AAPL|"After lagging for months, tech bellwethers Apple (AAPL +1.6%) and Google (GOOG +1.9%) have outgained the broader market during the market run-up, indicating that the tech sector could be moving into a leadership role. Dave Kansas sees their rebound as anticipating a round of strong earnings and that the economy’s slow patch is ""just a patch."""|2011-07-07|0.029360342964498853|44.18
JPM|Quite a boo-boo: The NY|2011-07-07|-0.006925373775394372|31.98
GOOG|Morgan Stanley is downgrading Google (GOOG -1.4%) to Equal-Weight from Overweight, and lowering its PT to $600 from $640. The firm's arguments: margins will fall due to rising spending; non-core businesses won't boost near-term growth by much; and the jury's still out on Google's local commerce and social networking moves.|2011-07-08|-0.014568420939073512|265.0
JPM|"Those ""cheap"" bank stocks (XLF -2.3%) just keep getting cheaper, among the biggest decliners today on the specter of debt crises on both sides of the Atlantic. It could get even worse, as big banks begin to report Q2 results later this week amid expectations of Q/Q revenue drops averaging as much as 25%. A sea of red: JPM -3%, BAC -2.8%, C -3.6%,"|2011-07-11|-0.047087241010480896|30.52
NFLX|While other firms worry about competition, Goldman is lifting its PT on Netflix (NFLX +1.6%) to $330 from $300 on account of the company's  Latin American expansion. Goldman is also raising its FY2012 and FY2013  EPS estimates due to higher forecasts for subscriber growth, average  revenue per user (ARPU), and profit margins.|2011-07-11|-0.0036799110543629387|41.53
ADBE|"Adobe (ADBE -1.8%) trades lower after Goldman resumes coverage with a sell. The firm notes the company's product cycle is ""moving the needle less and less,"" and its digital media business still struggles with transition issues."|2011-07-12|-0.047316632068773345|30.35
MSFT|LinkedIn (LNKD) gained 8.4% today, two days after comScore reported the company had passed MySpace to become America's second-largest social network in terms of unique visitors. Shares are now up 19% from their 7/5 close, and 79.3% from their 6/20 low.|2011-07-13|-0.006018650099367084|21.55
AMZN|Shares of Whole Foods Market (WFM +3.8%) gain, bolstered with a Buy rating from TheStreet Ratings on top of Goldman's earlier upgrade this week. Shares trade at a 52-week high.|2011-07-13|-0.010077307038355188|213.5
NFLX|Through Jeffries is cautious about Netflix's (NFLX +2.6%) price hike, Goldman and Piper Jaffray are reiterating their Buy and Overweight ratings, respectively. Goldman believes the revenue and margin boost from higher prices will offset any churn increase, while Piper expects growth in streaming-only subscriptions to increase profitability.|2011-07-13|-0.012892917373465429|42.68
NFLX|JPMorgan says internet companies will experience double-digit growth in coming years, as the monetization of new online video content, virtual goods, applications and cloud-based services bolsters the industry. The firm initiates coverage of five Internet stocks: Netflix (NFLX +2.5%), Amazon (AMZN +1.4%) and Google (NASDAQ:GOOG) are started at overweight, with Yahoo (YHOO) and eBay (NASDAQ:EBAY) at neutral.|2011-07-13|-0.012892917373465429|42.68
AAPL|"Looking at a ""refresh of virtually every product line between July and October,"" Apple (NASDAQ:AAPL) is strongly positioned for the peak holiday selling season, and its stock - already starting to tick higher - will benefit, Citi's Rich Gardner writes. iPhone demand has been strong this quarter, he adds, raising his sales estimate to 16-18M units, above 16.5-17M consensus. AAPL +1% premarket."|2011-07-13|0.01075153453538058|44.28
GOOG|Google's (NASDAQ:GOOG) earnings call includes some encouraging mobile division data: daily Android activations are now above 550K; traffic for its AdMob mobile ad network has grown 3.5x in the last year; and 6B Android apps have been downloaded - this holds up well against Apple's (NASDAQ:AAPL) 15B App Store downloads, given Apple's head start. Shares +12.1% AH.|2011-07-14|0.12046542557806139|263.48
GOOG|"Google (NASDAQ:GOOG) confirms in an upbeat earnings call that Google+ has 10M members since its invite-only launch, and that the ""+1"" button for recommending sites has been served 2.3B times a day. The company is trying to simplify even as its revenues spread beyond core search to YouTube and mobiles. GOOG +11.5% AH. (earnings beat)"|2011-07-14|0.12046542557806139|263.48
GOOG|Google (NASDAQ:GOOG) is now up 11.4% AH following its earnings beat, and other Internet stocks are moving higher in sympathy. YHOO +1.7%. AMZN +1.3%. BIDU +2.4%. EBAY +2.4%. LNKD +1.1%.|2011-07-14|0.12046542557806139|263.48
GOOG|Google (NASDAQ:GOOG): Jumps 10.1% AH on a killer earnings beat. Revenue, ex-traffic acquisition, of $6.92B beat consensus of $6.55B. Sites revenues of $6.23B; networks revenues of $2.48B. Paid clicks up 18% and cost per click up 12%.|2011-07-14|0.12046542557806139|263.48
NFLX|"Netflix (NFLX -3%) says it realized ""some people would be concerned"" about its  new pricing plan, but a ""silent majority"" of subscribers will realize the $15.98 price for combination DVD-and-streaming video plan still represents a good value. Investors may be starting to notice the customer anger, as shares have given back all of their gains since the price hike announcement."|2011-07-14|-0.013842434720767405|40.95
GOOG|"Piper Jaffray is far from the only firm praising Google (GOOG +12.1%) following a stellar Q2. JPMorgan gushes over surging international growth, and calls Google ""a more focused company"" under Larry Page; and Barclays belives the success of non-core businesses is bringing back Google's reputation as a growth stock. (PR) (CC transcript)"|2011-07-15|0.10806565805570745|297.69
GOOG|Google's (NASDAQ:GOOG) scorching hot Q2 earnings show that its stock is a bargain hiding in plain sight, Heard On The Street writes. Even with an 11.5% surge in the opening minutes today, Google's shares, when net cash of $107/share is excluded, are trading at only ~16x expected 2011 earnings, and are still below where they started the year.|2011-07-15|0.10806565805570745|297.69
NFLX|Netflix (NASDAQ:NFLX) is cut to sector perform at Pacific Crest on valuation. The firm says overblown investor expectations have pushed the stock up nearly 60% this year, and recent subscription rate hikes may lead to slower growth. Shares -1.65% premarket.|2011-07-18|0.003012714182168308|39.86
MSFT|JPMorgan downgrades LinkedIn (LNKD) to Neutral from Overweight on valuation, and maintains a $85 price target. Shares -3.5% premarket.|2011-07-18|0.040085159315779495|21.51
AAPL|"Additional details from Apple's (NASDAQ:AAPL) FQ3 CC: iTunes revs. up 36% Y/Y; 86% of Fortune 500 companies testing/using iPad; China revs. up over 6x to $3.8B; iPad outsells Macs in K-12 market; company says ""future product transition"" (likely new iPhone) could affect FQ4 sales; says it has ""more to learn"" about playing in prepaid phone market (cheaper iPhone?). Shares +5.3% AH. (PR)"|2011-07-19|0.059197534394472395|46.61
AAPL||2011-07-19|0.059197534394472395|46.61
GOOG|Several analysts are out with bullish notes on Motorola Mobility (MMI +4.9%), which is down nearly 22% YTD on concerns over Android share losses. Susquehanna is positive on Motorola's Chinese growth; UBS believes its patent portfolio is underappreciated; and ThinkEquity sees the handset business returning to profitability in Q3.|2011-07-19|-0.0036399207431082603|300.15
NFLX|Oppenheimer boosts its price target for Netflix (NFLX +3.5%) to $360 from $280, citing expansion that is transforming its model for global content distribution. Netflix has reached an “inflection point in its higher margin online streaming subscription business,” as strong subscriber growth is coupled with falling subscriber acquisition costs and churn rates.|2011-07-19|-0.018431923051942523|41.04
TSLA|Tesla Motors (TSLA +4.5%) scores a much bigger deal than expected after a SEC filing shows the agreement to supply an electric powertrain for Toyota's (TM +0.1%) RAV-4s between 2012 and 2014 is worth approximately $100M.|2011-07-20|0.053270642497724285|28.69
AMZN|Amazon (NASDAQ:AMZN) and CBS ink a deal to allow Amazon Prime customers - at no extra charge - to stream TV shows from the broadcaster's content library. Additionally, movies and TV shows from CBS will be available for all Amazon customers to purchase or rent. CBS +2.7%. NFLX -2%.|2011-07-20|0.008503782411847571|215.55
AAPL|Estimates and price targets are predictably rising following Apple's (NASDAQ:AAPL) FQ3 results. Ticonderoga is raising its PT to $666, arguing the iPhone and iPad's growth is still in its early stages; UBS thinks gross margin guidance could be conservative; and Piper Jaffray and Canaccord expect massive emerging markets growth. AAPL +5.3% premarket. (PR) (CC transcript)|2011-07-20|0.035868435895558104|47.85
AAPL|Apple's (NASDAQ:AAPL) earnings prowess spills over to its suppliers, as Cirrus Logic (NASDAQ:CRUS), supplier of chips used in Apple devices such as the iPod and iPad, +8.1% premarket. Fellow Apple suppliers also higher: ARMH +2.5%, BRCM +1.8%, OVTI +4.4%.|2011-07-20|0.035868435895558104|47.85
MSFT|Microsoft (NASDAQ:MSFT): FQ4 EPS of $0.69 beats by $0.11. Revenue of $17.3B (+8% Y/Y) beats by $120M. Shares +2.3% AH. (PR)|2011-07-21|-0.00017329395111598256|21.93
GOOG|Quick take on Icahn/Motorola: Even after today's move, Motorola still only has an enterprise value of about $4.3B; and one has to assume some of that is tied to its cable business, not its phone business. If Motorola's wireless patents can indeed fetch a price similar to Nortel's, the company owes it to shareholders to explore a sale.|2011-07-21|0.026117875800126256|302.36
GOOG|Motorola (MMI +12.4%) is responding to Carl Icahn's call to monetize its patents by suggesting it needs those patents to grow its business. MKM Partners' Tero Kuittinen thinks Motorola's portfolio is equal to Nortel's $4.5B stash, and believes Apple's (NASDAQ:AAPL) recent win against HTC (OTC:HTCCF) frees Motorola to send its lawyers after Asian rivals.|2011-07-21|0.026117875800126256|302.36
GOOG|"Motorola Mobility (NYSE:MMI) shares leap +19% after Carl Icahn urges the company to ""explore options"" on its patent portfolio, saying there may be ""multiple ways"" to add shareholder value. Motorola's patent portfolio is substantially larger than Nortel Networks' and includes numerous 4G technology patents with considerable value."|2011-07-21|0.026117875800126256|302.36
NFLX|More on Netflix's (NASDAQ:NFLX) Q2: U.S. subscribers expected to rise only slightly in Q3, to 25M. 10M streaming-only, 3M DVD-only, and 12M both streaming and DVDs. Q3 revenue expected to be $780M-$805M, below $847M consensus. 16.3% operating margin in Q2, but company maintaining 14% target for 2011, due to higher streaming-related expenses. NFLX -8.7% AH. (PDF)|2011-07-25|-0.031202184601112792|40.22
NFLX|Netflix (NASDAQ:NFLX): Q2 EPS of $1.26 beats by $0.15. Revenue of $788.6M (+52% Y/Y) misses by $2.9M. 25.6M total subscribers (24.6M in U.S.) in line with guidance for 24.9M-25.8M. Guides for Q3 EPS of $0.72-$1.07, below $1.09 consensus. Shares -7.7% AH. (PDF)|2011-07-25|-0.031202184601112792|40.22
AMZN|"Amazon.com (NASDAQ:AMZN) halts sales of Nintendo's (OTCPK:NTDOY -1.8%) 3DS handheld game device due to a potential flaw: ""There may be something wrong with our inventory of the item, the way we are shipping it, or the way it’s described here."" Could be construction flaws, though one analyst thinks it's the device's streaming services like Netflix (NASDAQ:NFLX) that Amazon has trouble with."|2011-07-25|0.0047625133524360486|213.49
NFLX|Netflix (NFLX +1.85%) is scheduled to report earnings after the close, with analysts likely to focus not just on the headline numbers but also on subscriber growth, costs and margins amid concerns that content distribution deals, including rumored talks with DreamWorks, will grow increasingly costly for the company.|2011-07-25|-0.031202184601112792|40.22
AMZN|More on Amazon.com (NASDAQ:AMZN) earnings: Worldwide media sales up 27% to $3.66B; Worldwide Electronics sales up 69% to $5.89B. Kindle sales growth sped up sequentially and the Kindle store has more than 950K books. North America and international sales both up 51% Y/Y. Shares now up 5.2% AH. (PR)|2011-07-26|0.028177123203240617|214.18
AMZN|Amazon.com (NASDAQ:AMZN): Q2 EPS of $0.41 beats by $0.06. Revenue of $9.9B (up 51%|2011-07-26|0.028177123203240617|214.18
NFLX|Following its Q2 revenue shortfall and soft Q3 guidance, Goldman is still confident Netflix (NFLX -6.5%) will be able to grow its average revenue per user in Q4, while Citi is positive on the prospect of declining postage costs. However, Morgan Stanley is concerned about Netflix's ongoing lack of U.S. social media integration and middling Canadian growth.|2011-07-26|-0.024552678037273568|38.13
NFLX|"Netflix (NASDAQ:NFLX) tries to put the best face on its recent decision to raise prices for DVD subscribers who also stream videos, telling shareholders that nearly 75% of new subscribers signed up for the plan in Q2. Better love it or leave it: ""We hate making our subscribers upset with us, but we feel like we provide a fantastic service..."" NFLX -9.3% premarket. (earnings)"|2011-07-26|-0.024552678037273568|38.13
AMZN|"Morgan Stanley's Scott Devitt thinks Amazon's (AMZN +5.7%) surging revenues put it right around where Wal-Mart (NYSE:WMT) was in 1991. Only he thinks Amazon's story is better, due to the company's business model ""allowing it to participate in a transition of physical to digital retail"" that can produce ""higher long-term economic returns."""|2011-07-27|0.04837290124492477|222.52
AMZN|"Analysts are lifting their targets for Amazon (NASDAQ:AMZN) following its Q2 beat and strong Q3 guidance. Citi notes Q2 featured Amazon's fastest growth in a decade, and argues the company's operating margin only fell due to R&D and Fulfillment spending that's ""creating even deeper moats."" AMZN +5.1% premarket, putting its market cap above $100B for the first time. (transcript)"|2011-07-27|0.04837290124492477|222.52
GOOG|More from Motorola Mobility (NYSE:MMI) earnings: Expects Q3 EPS of $0.00-0.10 vs. consensus of $0.24 and full-year EPS of $0.48-0.60 vs. $0.71. Shipped 11M mobile devices including 4.4M smartphones and 440K tablets. Mobile devices revenues of $2.4B (up 41%); Home revenues of $907M (up 2%). Shares now -6.6% AH.|2011-07-28|-0.030318734980809947|304.33
GOOG|"Wells Fargo's Jennifer Fritzsche sees Motorola's (MMI -2%) weak 2H guidance as reason to downgrade its shares to Neutral. While Fritzsche thinks Motorola ""held its own"" in Q2, and is positive on the arrival of the 4G Bionic and Photon, she believes the company's hopes for a full-year mobile division profit might be too optimistic. (results) (PR) (transcript)"|2011-07-29|-0.0006582271972334075|300.72
AAPL|"Apple (AAPL +1%) shares gain after Piper Jaffray says its survey points to a ""significant pent-up demand"" for the next iPhone, particularly at Verizon (NYSE:VZ). A delay in the launch of iPhone5 to October would cut Q3 profit, but iPhone market share ""could more than double throughout the next round of phone purchases."" Also, Canaccord raises its price target to $515 from $510."|2011-08-01|-0.007123314192936769|49.07
AMZN|Amazon (NASDAQ:AMZN) +1.3% premarket, possibly getting the bounce off Barron's bullish call on the stock.|2011-08-01|-0.0550227134001946|221.32
GOOG|"Google's (NASDAQ:GOOG) Chief Legal Officer berates Apple (NASDAQ:AAPL), Microsoft (NASDAQ:MSFT), and Oracle (NYSE:ORCL) for their litigious approach to dealing with Google and its Android partners, which he says is ""driving up the price of patents ... to insane levels."" A look at InterDigital's (IDCC +13.8%) recent price movements makes it hard to argue. (more on IDCC)"|2011-08-03|-0.04821743198352191|299.46
MSFT|LinkedIn (LNKD) rose 4.9% AH in response to the company's Q2 results. Members grew 61% Y/Y to 115.8M, and unique visitors were up 83%. The Hiring Solutions business grew 170% Y/Y, and now accounts for 48% of revenue. 2011 revenue guidance of $475M-$485M is above the $467.7M consensus. (PR)|2011-08-04|-0.04166402704703631|20.99
MSFT|LinkedIn ((LNKD): Q2 EPS of $0.10 beats by $0.13. Revenue of $121M beats by $16M. Shares +4.9% AH. (PR)|2011-08-04|-0.04166402704703631|20.99
GOOG|Motorola Mobility (MMI +2.7%) is up on an ugly day after announcing the XT531, a low-cost Android phone aimed at China and other international markets. Motorola has struggled to keep pace with Android rivals Samsung (OTC:SSNLF) and HTC (OTC:HTCCF) as of late, but China has been a bright spot for the company.|2011-08-04|-0.021886608561485943|287.68
MSFT|After opening higher on strong Q2 results and healthy revenue guidance, LinkedIn (LNKD -5.2%) has reversed course in early trading. Concerns about soft EBITDA guidance might be weighing on shares, as could a downgrade to Underweight by Evercore Partners, which is worried about the end of a share lockup in November. (PR) (transcript)|2011-08-05|-0.09295607269126582|20.78
MSFT|On an ugly day, LinkedIn (LNKD -18.9%) is falling harder than most. Evercore, which downgraded the company on Friday following earnings, today named LinkedIn a Conviction Sell. Other tech names down over 10%: APKT -11.6%. RAX -12.6%. ALU -14%. JDSU -12.7%. CIEN -10.9%. YNDX -12.6%. N -10.8%.|2011-08-08|-0.0117574590480648|19.81
AAPL|Apple (AAPL +3.6%) passes Exxon Mobil (XOM -0.3%) as the world's largest market cap, breaking through the $350B barrier. But that's just child's play says one tech writer who makes the case for a +$1T market cap for the Cupertino giant.|2011-08-09|-0.023372517223307132|46.25
GOOG|"Shares of Motorola (MMI +5%) get a lift from some positive comments made by CEO Sanjay Jha at Oppenheimer's Technology Conference this morning. He says Droid 3 sales are doing better than expected, and the company expects to launch ""much more interesting products in Q4,"" hinting that the upcoming 4G Droid Bionic phone will be ""more than just a phone."""|2011-08-09|-0.049419571019380215|285.63
